1	4696802	Fresh, fruity scent that's not too feminine/sweet. After I had recently purchased this scent I was hanging out with my sister and she noticed the scent and her question was: Hey did you get a new, cheap perfume? Um, rude, sis! But maybe this does smell just a tad cheaper than it should... Scent lasts though!	positif
2	16776948	This perfume smells amazing! I love how light the scent is. Super fresh and perfect year round.	positif
3	14846121	Perfect spring and summer scent! Light, slightly floral, fresh smelling perfume. Great for all ages.	positif
4	19636153	Flower This scent is a bit strong for my taste in fragrances, I prefer softer scents, it smells like flowery vanilla. It also has a bit if a spicy scent to it. If you like more of a flower scent, this is definitely for you. The bottle is beautiful, and the scent does last all day long. I received this product complimentary for review purposes from influenster. My opinions are my own.	positif
5	23873573	Smells really lovely and very long lasting one of my favourite perfumes, the scent lasts on you all day	positif
6	14011364	A Thousand Wishes is my favorite body wash of all time. It smells amazing. It has a sweet, fruity, delectable scent. I get so many people who ask me what I am wearing as a perfume. The scent lasts for hours after a shower. It is definitely a seductive scent. I hope that Bath and Body Works never discountinues this scent.	positif
7	18182007	Absolutely love this scent! It's my go to fragrance. So light and delicious smelling!	positif
8	4973358	Definitely a day time scent! Extremely beautiful and definitely lasts. I love the way the scent smells on me after it sets in and honestly tried to smell other perfumes but after smelling just a few I knew I had to have this. Excellent scent highly recommend to all the girls. It's a must have!	positif
9	7838370	My fave fave fave scent for women. It won't suit everyone as all perfumes blends with your natural scent but I love how this fuses together on my skin. The longevity of the fragrance can't be compared to any other - it lasts all day. A beautiful scent.	positif
10	7839370	Love this scent. My friend recommended this perfume to me. I didn't think much about it but when I went to Nordstrom to sniff, LOVE AT FIRST SCENT. It's smells fruity but in a sophisticated way thanks to the ominous coffee note. It's fruity/creamy scent.	positif
11	7840600	This perfume has a wonderful fruity scent with a hint of musk.The perfume is not that strong but it does last all day.The fragrance comes with a lotion which has the same scent as the perfume.Use the lotion with the perfume to make the scent last all day long and make it much stronger.	positif
