1	10529674	My fiancé bought this perfume for me and boy does he have good taste! I love this light, fresh, young scent. I always get compliments when I wear it. It has slight floral smell. I would recommend you buy this if you're in the market for a new perfume!	positif
2	10521640	a very good perfume! wonderful! It has a fragrance of good taste that leaves no very elegant woman. totally worth the price it costs and I recommend it to anyone. It has a very sweet and delicate but at the same time very striking smell. It is one of my favorite scents, and that's pretty rare.	positif
3	16079309	Its a great perfume. Smell so good and the price is so cheap. I recomended to all people how knows the good taste of the fragance	positif
4	1126438	Subtle, flower scent parfum, my husband gave it to me as a Christmas gift he likes the smell, he prefers me to wear it daily at work. He has a good taste.	positif
5	10955842	"Received as a gift w a Gucci bag for quitting smoking from my parents. This is my first bottle. It smells divine but it is so expensive shame I can't afford to replace it otherwise it would've been my signature scent. My signature scent is charlotte Tilbury scent of a dream. I don't like smelling like a lot of other females out there & it's similar to Dolce both are fleurotic new style green chypres. Don't send death threats to me for comparing them I know Scent of a Dream takes a quirky wearer & dolce is white t/jeans/converse easy elegance in a bottle. My mom (direct quote: ""ALL perfumes smell like DIRT!"") was living dangerously picking a fragrance for me but she did an excellent job. My mom picks dolce my daddy gifted me Giorgio Armani Si my parents got good taste! Dolce opens w white flowers & damp earth then morphs into this loveliness, classic floral elegance w lasting power floral never over bearing nor obnoxious nor screechy loud it sits there sweetly purely. I'm horrible at describing frags so don't take my word for it go to a Dept store or sephora & douse yourself. Don't go for a white placard w the scent u need to see how it smells on YOU ur chemistry etc. take their white sprayed card & stick in your bag so the insides will smell like Dolce!! Xx"	positif
6	15601304	This is the perfume that been seeking for years, history is many years ago when I went to my first tryst, the boy tells me that rich smell !! I told him is my mom, and I said: Well your mom has good taste .. I did not know what was ISL but now that I know, I'll buy, has an exquisite aroma, that scent that leaves you soaked in your being difficult to borrrarlo, recommended 100%I fount it....Yeeeeeee	positif
7	6211466	Smells good taste good looks great what more could u want from a gloss!	positif
8	15405052	"Jimmy Choo L'Eau Eau de Toilette has a sweet, but sensual pleasure scent. My husband bought this for me for Mothers Day, and I have received numerous complaints on what I ""smell"" like ;) It's a perfect scent to wear everyday or for your special date night. Heck, my husband bought it so he must enjoy it as well! He has good taste, always keep a man who has good taste."	positif
9	8233127	Time gly!! But did the job and lasted awhile. Good taste and smell and overall product.	positif
10	24470790	love L'Oréal lips tick they have a good taste and smells like candy or something	positif
11	12437864	Absolutely love this! It smells good, taste good and does exactly what it's supposed too.	positif
12	17604625	Smells good for him and if u have a good taste and for him u would know if there good	positif
13	15667602	My husband wears this and it is my favorite cologne on him. I know it's not new anymore, but it's not a fragrance I smell everyone wearing, so that's a nice quality. It just smells like good taste and sophisticated without being a douchebag!!	positif
14	16615878	It smells so beyond amazing ! It lathers so smoothly. I use it when I go out and don't even have to wear perfume . It was a gift from jcpennys. The price was well worth the product . I would recommend to anyone who has good taste .	positif
15	2759368	Good taste and excellent package	positif
16	1149993	Good stuff.. great fragrance. This says I have good taste and sophisticated.. I get a lot of compliments.. really is pleasant.	positif
